"from_station_id","to_station_id","fare_octo_adult","fare_octo_child","fare_octo_elderly","fare_octo_pwd","fare_octo_student","fare_octo_joyyou_sixty","fare_single_adult","fare_single_child","fare_single_elderly"
"30","120",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"30","130",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"30","140",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"30","150",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"30","160",5.30,2.20,2.00,2.00,2.20,2.00,6.50,3.50,3.50
"30","340",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"30","350",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"30","360",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"30","370",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"30","380",6.10,3.00,2.00,2.00,3.00,2.00,8.00,4.00,4.00
"30","390",6.10,3.00,2.00,2.00,3.00,2.00,8.00,4.00,4.00
"30","400",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"30","425",6.10,3.00,2.00,2.00,3.00,2.00,8.00,4.00,4.00
"30","430",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"30","435",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"30","445",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"30","448",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"30","450",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"30","455",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"30","460",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"30","490",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"30","500",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"30","468",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
